country,track,topic_tags,priority,source_type,source_title,source_url,resource_title,resource_url,resource_class,language,notes,access_model,verification_status,free_resource
Malaysia,GA,mathematical reasoning;numeracy;multiple choice;competition,B,Official competition sample-paper archive,EMOS Malaysia — Spirit of Math sample questions and solutions,https://emosmalaysia.com/sample-questions/,International Spirit of Math Contest 2025 — Grade 1 Question Paper,https://emosmalaysia.com/wp-content/uploads/2025/12/Gr1_SoMC_2025.pdf,Sample mathematics contest paper / MCQs,English,Public English Grade 1 multiple-choice mathematics contest paper linked from EMOS Malaysia's official Sample Questions page.,Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Malaysia,GA,mathematical reasoning;numeracy;multiple choice;competition,B,Official competition sample-paper archive,EMOS Malaysia — Spirit of Math sample questions and solutions,https://emosmalaysia.com/sample-questions/,International Spirit of Math Contest 2025 — Grade 2 Question Paper,https://emosmalaysia.com/wp-content/uploads/2025/12/Gr2_SoMC_2025.pdf,Sample mathematics contest paper / MCQs,English,Public English Grade 2 multiple-choice mathematics contest paper linked from EMOS Malaysia's official Sample Questions page.,Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Malaysia,GA,mathematical reasoning;numeracy;multiple choice;competition,B,Official competition sample-paper archive,EMOS Malaysia — Spirit of Math sample questions and solutions,https://emosmalaysia.com/sample-questions/,International Spirit of Math Contest 2025 — Grade 3 Question Paper,https://emosmalaysia.com/wp-content/uploads/2025/12/Gr3_SoMC_2025.pdf,Sample mathematics contest paper / MCQs,English,Public English Grade 3 multiple-choice mathematics contest paper linked from EMOS Malaysia's official Sample Questions page.,Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Malaysia,GA,mathematical reasoning;numeracy;multiple choice;competition,B,Official competition sample-paper archive,EMOS Malaysia — Spirit of Math sample questions and solutions,https://emosmalaysia.com/sample-questions/,International Spirit of Math Contest 2025 — Grade 4 Question Paper,https://emosmalaysia.com/wp-content/uploads/2025/12/Gr4_SoMC_2025.pdf,Sample mathematics contest paper / MCQs,English,Public English Grade 4 multiple-choice mathematics contest paper linked from EMOS Malaysia's official Sample Questions page.,Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Malaysia,GA,mathematical reasoning;numeracy;multiple choice;competition,B,Official competition sample-paper archive,EMOS Malaysia — Spirit of Math sample questions and solutions,https://emosmalaysia.com/sample-questions/,International Spirit of Math Contest 2025 — Grade 5 Question Paper,https://emosmalaysia.com/wp-content/uploads/2025/12/Gr5_SoMC_2025-1.pdf,Sample mathematics contest paper / MCQs,English,Public English Grade 5 multiple-choice mathematics contest paper linked from EMOS Malaysia's official Sample Questions page.,Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Malaysia,GA,mathematical reasoning;numeracy;multiple choice;competition,B,Official competition sample-paper archive,EMOS Malaysia — Spirit of Math sample questions and solutions,https://emosmalaysia.com/sample-questions/,International Spirit of Math Contest 2025 — Grade 6 Question Paper,https://emosmalaysia.com/wp-content/uploads/2025/12/Gr6_SoMC_2025-1.pdf,Sample mathematics contest paper / MCQs,English,Public English Grade 6 multiple-choice mathematics contest paper linked from EMOS Malaysia's official Sample Questions page.,Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Malaysia,GA,mathematical reasoning;numeracy;multiple choice;competition,B,Official competition sample-paper archive,EMOS Malaysia — Spirit of Math sample questions and solutions,https://emosmalaysia.com/sample-questions/,International Spirit of Math Contest 2025 — Grade 3 Official Solutions,https://emosmalaysia.com/wp-content/uploads/2025/12/Gr3_SoMC_2025_Solutions.pdf,Official mathematics contest solutions,English,Public English Grade 3 answer key and worked mathematics explanations linked from EMOS Malaysia's official Sample Questions page.,Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Malaysia,GA,mathematical reasoning;numeracy;multiple choice;competition,B,Official competition sample-paper archive,EMOS Malaysia — Spirit of Math sample questions and solutions,https://emosmalaysia.com/sample-questions/,International Spirit of Math Contest 2025 — Grade 4 Official Solutions,https://emosmalaysia.com/wp-content/uploads/2025/12/Gr4_SoMC_2025_Solutions.pdf,Official mathematics contest solutions,English,Public English Grade 4 answer key and worked mathematics explanations linked from EMOS Malaysia's official Sample Questions page.,Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Malaysia,GA,mathematical reasoning;numeracy;multiple choice;competition,B,Official competition sample-paper archive,EMOS Malaysia — Spirit of Math sample questions and solutions,https://emosmalaysia.com/sample-questions/,International Spirit of Math Contest 2025 — Grade 5 Official Solutions,https://emosmalaysia.com/wp-content/uploads/2025/12/Gr5_SoMC_2025_Solutions-1.pdf,Official mathematics contest solutions,English,Public English Grade 5 answer key and worked mathematics explanations linked from EMOS Malaysia's official Sample Questions page.,Free public PDF,HTTP 200 · verified 2026-08-15,Yes
Malaysia,GA,mathematical reasoning;numeracy;multiple choice;competition,B,Official competition sample-paper archive,EMOS Malaysia — Spirit of Math sample questions and solutions,https://emosmalaysia.com/sample-questions/,International Spirit of Math Contest 2025 — Grade 6 Official Solutions,https://emosmalaysia.com/wp-content/uploads/2025/12/Gr6_SoMC_2025_Solutions-1.pdf,Official mathematics contest solutions,English,Public English Grade 6 answer key and worked mathematics explanations linked from EMOS Malaysia's official Sample Questions page.,Free public PDF,HTTP 200 · verified 2026-08-15,Yes
